Ind	pop	HybClass_LDjacea	PC1_morpho	PC2_morpho	PC1	PC2	GenSize
CO.7	CO	BC2_jacea	0.552395345857557	-0.588613889929992	-0.530241495	2.185587935	NA
MC.7	MC	jacea	-2.36039675943084	-1.2047666339623	-0.277289497	2.985465564	1.946666667
WV.7	WV	nigra	0.770376408011645	-0.339595585967691	5.516571843	-3.43197743	1.9775
SP.7B	SP	F2	-1.1234537070502	-2.10932463453515	3.979741307	-2.511630062	NA
CB.8	CB	BC1_jacea	1.76483995923694	0.0180846144181131	1.778440956	4.180145932	1.936666667
CO.8	CO	jacea	0.0229804366723148	-0.797326097076431	-0.890305581	2.578416567	1.96
FL.8	FL	BC2_jacea	-0.625829700139213	0.150199470507845	0.786805936	2.910143963	1.91
HV.8	HV	jacea	-2.89608969683699	0.0797225592723515	-3.671889541	-1.805502935	1.913333333
MC.8	MC	jacea	-0.0560788287191383	-0.00563163486865201	-0.159481783	3.115274822	1.926666667
MP.8	MP	nigra	0.707604528020773	-0.233148118097494	6.048708435	-4.434988406	NA
TH.8B	TH	nigra	-0.360647703302696	-1.15564110837377	5.421560573	-3.204778646	1.955
CB.9	CB	BC2_jacea	-2.23984087945432	-2.25008894772656	-0.259315714	4.849479648	1.936666667
CO.9	CO	BC2_jacea	1.1876061101687	-0.316536868300873	-0.62586796	5.245545033	2.01
FL.9	FL	jacea	-2.01064813551925	0.644913940416732	-0.511011257	2.46938598	1.88
JV.9	JV	jacea	-0.176184540347168	-0.574297573369054	0.293792651	1.130221558	NA
WV.9	WV	nigra	0.84901167537472	-0.336656989342931	8.745727383	-3.584480915	NA
WR.R	WR	BC2_jacea	0.535197215625402	-1.0262796010037	1.076536241	-1.438936315	1.89
WR.X	WR	F2	0.550468949380998	-1.28889438879734	2.240808341	-1.857209541	NA
WR.Z	WR	F2	-0.8148696756756	-1.12523248021012	0.973951858	-1.37684459	NA
