pop	ind	jacea	nigra	F1	F2	BC1_jacea	BC1_nigra	BC2_jacea	BC2_nigra	HybClass_LDjacea
JV	JV.17	0.00013	0	0	0	0	0	0.99987	0	BC2_jacea
JV	JV.9	0.91872	0	0	0	0	0	0.08128	0	jacea
JV	JV.10	0.98244	0	0	0	0	0	0.01756	0	jacea
JV	JV.20	1	0	0	0	0	0	0	0	jacea
JV	JV.12	0.98812	0	0	0	0	0	0.01188	0	jacea
FL	FL.4	0.00039	0	0	0	1e-05	0	0.9996	0	BC2_jacea
FL	FL.8	0.01487	0	0	0	1e-05	0	0.98512	0	BC2_jacea
FL	FL.9	0.99991	0	0	0	0	0	9e-05	0	jacea
FL	FL.14	0.1343	0	0	0	2e-05	0	0.86568	0	BC2_jacea
FL	FL.6	0.02997	0	0	0	1e-05	0	0.97002	0	BC2_jacea
FL	FL.2	0.98708	0	0	0	0	0	0.01292	0	jacea
FL	FL.5	0.99464	0	0	0	0	0	0.00536	0	jacea
FL	FL.20	0.09701	0	0	0	1e-05	0	0.90298	0	BC2_jacea
FL	FL.12	0	0	0	0	0.01857	0	0.98143	0	BC2_jacea
FL	FL.19	0.99958	0	0	0	0	0	0.00042	0	jacea
FL	FL.16	0	0	0	0	0.02009	0	0.97991	0	BC2_jacea
FL	FL.13	0	0	0	0.02483	0.04797	0	0.9272	0	BC2_jacea
FL	FL.15	0.99762	0	0	0	0	0	0.00238	0	jacea
FL	FL.17	0	0	0	0.99977	8e-05	0	0.00016	0	F2
FL	FL.1	0.01068	0	0	0	9e-05	0	0.98923	0	BC2_jacea
DF	DF.16	1	0	0	0	0	0	0	0	jacea
DF	DF.14	1	0	0	0	0	0	0	0	jacea
DF	DF.7	1	0	0	0	0	0	0	0	jacea
DF	DF.31	1	0	0	0	0	0	0	0	jacea
DF	DF.23	1	0	0	0	0	0	0	0	jacea
DF	DF.1	1	0	0	0	0	0	0	0	jacea
DF	DF.10	1	0	0	0	0	0	0	0	jacea
DF	DF.29	0.99995	0	0	0	0	0	5e-05	0	jacea
DF	DF.25	1	0	0	0	0	0	0	0	jacea
DF	DF.11	1	0	0	0	0	0	0	0	jacea
DF	DF.30	1	0	0	0	0	0	0	0	jacea
DF	DF.27	1	0	0	0	0	0	0	0	jacea
DF	DF.2	1	0	0	0	0	0	0	0	jacea
PR	PR.3	1	0	0	0	0	0	0	0	jacea
PR	PR.6	1	0	0	0	0	0	0	0	jacea
PR	PR.21	0	0	0	0	0	0	1	0	BC2_jacea
PR	PR.10	1	0	0	0	0	0	0	0	jacea
PR	PR.7	1	0	0	0	0	0	0	0	jacea
PR	PR.20	0	0.91976	0	0	0	0	0	0.08024	nigra
PR	PR.15	0	0	0	0	0.00919	0	0.99081	0	BC2_jacea
PR	PR.22	1	0	0	0	0	0	0	0	jacea
PR	PR.14	0.00921	0	0	0	0	0	0.99079	0	BC2_jacea
PR	PR.18	1	0	0	0	0	0	0	0	jacea
PR	PR.12	1	0	0	0	0	0	0	0	jacea
PR	PR.16	1	0	0	0	0	0	0	0	jacea
PR	PR.4	0.99959	0	0	0	0	0	0.00041	0	jacea
PR	PR.11	1	0	0	0	0	0	0	0	jacea
TH	TH.14B	0	0.24799	0	0	0	0.00049	0	0.75152	BC2_nigra
TH	TH.8B	0	0.99998	0	0	0	0	0	2e-05	nigra
TH	TH.21B	0	0	0	1	0	0	0	0	F2
TH	TH.13B	0	0.99899	0	0	0	0	0	0.00101	nigra
TH	TH.1B	0	0.80998	0	0	0	4e-05	0	0.18998	nigra
TH	TH.10B	0	0.99993	0	0	0	0	0	7e-05	nigra
TH	TH.16B	0	0.99996	0	0	0	0	0	4e-05	nigra
TH	TH.11B	0	1	0	0	0	0	0	0	nigra
TH	TH.20B	0	0.98932	0	0	0	0	0	0.01068	nigra
TH	TH.17B	0	0.99865	0	0	0	0	0	0.00135	nigra
TH	TH.15B	0	0.99999	0	0	0	0	0	1e-05	nigra
TH	TH.6B	0	0.98142	0	0	0	0	0	0.01858	nigra
TH	TH.19B	0	0	0	1	0	0	0	0	F2
TH	TH.5B	0	0.93127	0	0	0	0	0	0.06873	nigra
CO	CO.14	0.44463	0	0	0	1e-05	0	0.55536	0	BC2_jacea
CO	CO.13	0	0	0	1	0	0	0	0	F2
CO	CO.4	0.97357	0	0	0	0	0	0.02643	0	jacea
CO	CO.11	0	0	0	0	0.91754	0	0.08246	0	BC1_jacea
CO	CO.12	0	0	0	0.64382	9e-05	0	0.35609	0	F2
CO	CO.16	0.53692	0	0	0	0	0	0.46308	0	jacea
CO	CO.18	0	0	0	0	0.00859	0	0.99141	0	BC2_jacea
CO	CO.6	0	0	0	0	0.00196	0	0.99804	0	BC2_jacea
CO	CO.9	0	0	0	0	0.00014	0	0.99986	0	BC2_jacea
CO	CO.15	0	0	0	0.00018	0.99487	0	0.00494	0	BC1_jacea
CO	CO.19	0	0	0.00097	0.57844	0.42059	0	0	0	F2
CO	CO.10	0	0	0	0	1e-05	0	0.99999	0	BC2_jacea
CO	CO.1	1	0	0	0	0	0	0	0	jacea
CO	CO.8	0.99744	0	0	0	0	0	0.00256	0	jacea
CO	CO.2	0	0	0	0	0.98715	0	0.01285	0	BC1_jacea
CO	CO.17	0.50319	0	0	0	1e-05	0	0.4968	0	jacea
CO	CO.7	0.00091	0	0	0	1e-05	0	0.99908	0	BC2_jacea
CO	CO.3	0.0323	0	0	0	0	0	0.9677	0	BC2_jacea
CO	CO.20	0.02773	0	0	0	0	0	0.97227	0	BC2_jacea
CO	CO.5	0.99456	0	0	0	0	0	0.00544	0	jacea
SP	SP.14	0	0	0	0	1e-05	0	0.99999	0	BC2_jacea
SP	SP.3	0	0	0	1	0	0	0	0	F2
SP	SP.4B	0	0	0	1	0	0	0	0	F2
SP	SP.20	0	0	0	0.9598	0.02623	0	0.01396	0	F2
SP	SP.1	0	0	0	0.99998	2e-05	0	0	0	F2
SP	SP.18	0	0	0	0.99999	1e-05	0	0	0	F2
SP	SP.6B	0	0	0	0.99985	0	0.00014	0	2e-05	F2
SP	SP.4	0	0	0	1	0	0	0	0	F2
SP	SP.3B	0	0	0	0.16813	0.83186	0	0	0	BC1_jacea
SP	SP.7B	0	0	0	1	0	0	0	0	F2
SP	SP.1B	0	0	0	1	0	0	0	0	F2
JF	JF.08	0	0.99138	0	0	0	0	0	0.00862	nigra
JF	JF.01	0	0.9992	0	0	0	0	0	8e-04	nigra
JF	JF.11	0	1	0	0	0	0	0	0	nigra
JF	JF.21	0	1	0	0	0	0	0	0	nigra
HV	HV.4	0.99998	0	0	0	0	0	2e-05	0	jacea
HV	HV.21	1	0	0	0	0	0	0	0	jacea
HV	HV.8	1	0	0	0	0	0	0	0	jacea
HV	HV.2	1	0	0	0	0	0	0	0	jacea
HV	HV.20	1	0	0	0	0	0	0	0	jacea
HV	HV.15	1	0	0	0	0	0	0	0	jacea
HV	HV.11	1	0	0	0	0	0	0	0	jacea
HV	HV.5	0.9896	0	0	0	0	0	0.0104	0	jacea
HV	HV.13	0.99996	0	0	0	0	0	4e-05	0	jacea
HV	HV.18	0.96055	0	0	0	0	0	0.03945	0	jacea
HV	HV.1	1	0	0	0	0	0	0	0	jacea
HV	HV.9	1	0	0	0	0	0	0	0	jacea
HV	HV.3	1	0	0	0	0	0	0	0	jacea
HV	HV.12	1	0	0	0	0	0	0	0	jacea
HV	HV.16	0.46842	0	0	0	0	0	0.53158	0	BC2_jacea
CH	CH.6	1	0	0	0	0	0	0	0	jacea
CH	CH.1	0	0	0	0.00112	0.68743	0	0.31145	0	BC1_jacea
CH	CH.11	0.99999	0	0	0	0	0	1e-05	0	jacea
CH	CH.3	0.99308	0	0	0	0	0	0.00692	0	jacea
CH	CH.17	1	0	0	0	0	0	0	0	jacea
CH	CH.13	0.99995	0	0	0	0	0	5e-05	0	jacea
CH	CH.7	1	0	0	0	0	0	0	0	jacea
CH	CH.15	0.05721	0	0	0	3e-05	0	0.94277	0	BC2_jacea
CH	CH.4	0	0	0	0.98394	0.00087	0	0.01519	0	F2
CH	CH.10	0	0	0	0	0.28328	0	0.71672	0	BC2_jacea
CH	CH.17B	0	0	0	0.00319	0.12599	0	0.87082	0	BC2_jacea
CH	CH.16	0	0	0	1	0	0	0	0	F2
CH	CH.121	1	0	0	0	0	0	0	0	jacea
CH	CH.124	0	0	0	0	0.87965	0	0.12035	0	BC1_jacea
LH	LH.13	0.01664	0	0	0	4e-05	0	0.98332	0	BC2_jacea
LH	LH.18	0	0	0	0.00335	0.99665	0	0	0	BC1_jacea
LH	LH.19	0.02577	0	0	0	0	0	0.97423	0	BC2_jacea
LH	LH.5	0	0	0	0	0.02086	0	0.97914	0	BC2_jacea
LH	LH.3	0	0	0	0	0.02533	0	0.97467	0	BC2_jacea
LH	LH.14	0.23444	0	0	0	0	0	0.76556	0	BC2_jacea
LH	LH.10	0	0	0	0	0.08031	0	0.91969	0	BC2_jacea
LH	LH.1	0	0	0	0	0.89571	0	0.10429	0	BC1_jacea
LH	LH.4	0.99944	0	0	0	0	0	0.00056	0	jacea
WV	WV.7	0	0.99645	0	0	0	0	0	0.00355	nigra
WV	WV.12	0	0	0	0	0	0.46013	0	0.53987	BC2_nigra
WV	WV.9	0	1	0	0	0	0	0	0	nigra
WV	WV.2	0	0.00041	0	0	0	0.27189	0	0.7277	BC2_nigra
WV	WV.10	0	0.99883	0	0	0	0	0	0.00117	nigra
WV	WV.13	0	0	0	1	0	0	0	0	F2
WV	WV.11	0	0.99796	0	0	0	0	0	0.00204	nigra
WV	WV.20	0	0.97805	0	0	0	0	0	0.02195	nigra
WV	WV.4	0	0	0	0.99916	0	0.00075	0	9e-05	F2
WV	WV.14	0	0	0	0.99999	0	1e-05	0	0	F2
CB	CB.5	0	0	0	1	0	0	0	0	F2
CB	CB.17	0	0	0	0.99999	1e-05	0	0	0	F2
CB	CB.20	0.02676	0	0	0	0	0	0.97324	0	BC2_jacea
CB	CB.18	0	0	0	1e-05	0.99999	0	0	0	BC1_jacea
CB	CB.11	0.51322	0	0	0	0	0	0.48678	0	jacea
CB	CB.8	0	0	0	6e-05	0.98854	0	0.0114	0	BC1_jacea
CB	CB.14	0	0	0	1	0	0	0	0	F2
CB	CB.6	0.03258	0	0	0	8e-05	0	0.96734	0	BC2_jacea
CB	CB.15	2e-05	0	0	0	4e-05	0	0.99993	0	BC2_jacea
CB	CB.19	0.01889	0	0	0	0	0	0.98111	0	BC2_jacea
CB	CB.10	0	0	0	0	0.44787	0	0.55213	0	BC2_jacea
CB	CB.12	0	0	0	0	0.00145	0	0.99855	0	BC2_jacea
CB	CB.7	0	0	0	0	0.00162	0	0.99838	0	BC2_jacea
CB	CB.3	0	0	0	2e-05	0.22345	0	0.77653	0	BC2_jacea
CB	CB.16	0.00035	0	0	0	3e-05	0	0.99962	0	BC2_jacea
CB	CB.13	0	0	0	0.72755	0.27244	0	2e-05	0	F2
CB	CB.9	0	0	0	0	0.00017	0	0.99983	0	BC2_jacea
FP	FP.3	0.00125	0	0	0	0	0	0.99875	0	BC2_jacea
FP	FP.1	0.99997	0	0	0	0	0	3e-05	0	jacea
FP	FP.11	0	0	0	0	1e-05	0	0.99999	0	BC2_jacea
FP	FP.2	0.9991	0	0	0	0	0	9e-04	0	jacea
FP	FP.6	0.99751	0	0	0	0	0	0.00249	0	jacea
FP	FP.17	0	0	0	0	0.00746	0	0.99254	0	BC2_jacea
FP	FP.14	0.99999	0	0	0	0	0	1e-05	0	jacea
FP	FP.4	0.99842	0	0	0	0	0	0.00158	0	jacea
