Ind	pop	HybClass_LDnigra	PC1_morpho	PC2_morpho	PC1	PC2	GenSize
MP.5	MP	nigra	-0.020125789	0.206966212	4.826249219	-1.860820191	1.993333333
RM.54	RM	jacea	-1.372147025	0.867557254	-4.249949546	-2.100073152	1.883333333
CB.6	CB	F2	-2.300424232	-2.207631399	0.348267348	3.387594987	NA
CO.6	CO	BC1_jacea	0.042174058	-0.899472959	0.502408825	3.017175749	1.956666667
FL.6	FL	F2	-1.118512387	-0.040187837	0.655976699	2.201278923	1.893333333
FP.6	FP	F2	-1.887164735	0.664701231	-0.192346113	2.643117223	1.895
JV.6	JV	BC2_jacea	0.097289012	-0.258847846	-1.347184862	3.435373997	1.9
MC.6	MC	F2	0.068530601	0.803763157	-0.13331513	4.207724511	NA
MP.6	MP	nigra	1.417906699	-0.314671856	5.707702186	-2.87747978	1.96
SP.6B	SP	F2	-0.033809437	-0.853396378	1.745011964	-1.275362814	1.866666667
TH.6B	TH	nigra	1.24693486	-0.792928434	7.554913501	-3.781424591	NA
CB.7	CB	F2	1.43404415	-0.304078045	1.106857263	5.46161916	1.926666667
CO.7	CO	F2	0.552395346	-0.58861389	-0.530241495	2.185587935	NA
MC.7	MC	BC2_jacea	-2.360396759	-1.204766634	-0.277289497	2.985465564	1.946666667
WV.7	WV	nigra	0.770376408	-0.339595586	5.516571843	-3.43197743	1.9775
SP.7B	SP	BC1_nigra	-1.123453707	-2.109324635	3.979741307	-2.511630062	NA
CB.8	CB	BC1_jacea	1.764839959	0.018084614	1.778440956	4.180145932	1.936666667
CO.8	CO	F2	0.022980437	-0.797326097	-0.890305581	2.578416567	1.96
FL.8	FL	F2	-0.6258297	0.150199471	0.786805936	2.910143963	1.91
HV.8	HV	jacea	-2.896089697	0.079722559	-3.671889541	-1.805502935	1.913333333
MC.8	MC	F2	-0.056078829	-0.005631635	-0.159481783	3.115274822	1.926666667
MP.8	MP	nigra	0.707604528	-0.233148118	6.048708435	-4.434988406	NA
TH.8B	TH	nigra	-0.360647703	-1.155641108	5.421560573	-3.204778646	1.955
CB.9	CB	F2	-2.239840879	-2.250088948	-0.259315714	4.849479648	1.936666667
CO.9	CO	F2	1.18760611	-0.316536868	-0.62586796	5.245545033	2.01
FL.9	FL	F2	-2.010648136	0.64491394	-0.511011257	2.46938598	1.88
JV.9	JV	F2	-0.17618454	-0.574297573	0.293792651	1.130221558	NA
WV.9	WV	BC2_nigra	0.849011675	-0.336656989	8.745727383	-3.584480915	NA
WR.R	WR	F2	0.535197216	-1.026279601	1.076536241	-1.438936315	1.89
WR.X	WR	F2	0.550468949	-1.288894389	2.240808341	-1.857209541	NA
WR.Z	WR	F2	-0.814869676	-1.12523248	0.973951858	-1.37684459	NA
